# b_ss,c_ss,EulErr_ss,RCerr_ss,w_ss,r_ss,K_ss,Y_ss,C_ss,BQ_ss
7.943910253600841020e-01,1.077942632365930020e+00,-1.110223024625156540e-16,-3.189175399748766029e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
8.620184240144342924e-01,1.078746890585862372e+00,1.110223024625156540e-16,-3.189991574443491133e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
9.343852939754616616e-01,1.079551748866748984e+00,-4.440892098500626162e-16,-3.188863464150860222e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.011877903409949209e+00,1.080357207656297502e+00,5.551115123125782702e-16,-3.191157135781054390e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.094914048467864998e+00,1.081163267402551531e+00,-7.771561172376095783e-16,-3.192115938436490552e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.183945626694777431e+00,1.081969928553886184e+00,6.661338147750939243e-16,-3.191712083189148039e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.279461420494256041e+00,1.082777191559013641e+00,7.771561172376095783e-16,-3.193017013905107351e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.381990107785187050e+00,1.083585056866980922e+00,-1.110223024625156540e-15,-3.195266991553124755e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.492103518398372186e+00,1.084393524927167229e+00,3.330669073875469621e-16,-3.195260233253375496e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.610420156270418124e+00,1.085202596189289714e+00,3.330669073875469621e-16,-3.191832192435483263e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.737609009130119730e+00,1.086012271103401261e+00,-1.332267629550187849e-15,-3.193006546376846513e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.874393669143381125e+00,1.086822550119887598e+00,4.440892098500626162e-16,-3.193751067370624152e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.021556789898082851e+00,1.087633433689473073e+00,8.881784197001252323e-16,-3.190771929937303610e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.179944907182011171e+00,1.088444922263218650e+00,-2.220446049250313081e-16,-3.188806016432828815e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.350473653247783012e+00,1.089257016292520586e+00,-7.771561172376095783e-16,-3.184565615091870545e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.534133396682406225e+00,1.090069716229111307e+00,1.110223024625156540e-16,-3.182077380303429976e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.731995342620658906e+00,1.090883022525061197e+00,9.992007221626408864e-16,-3.181294234554698022e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.945218130876992468e+00,1.091696935632780363e+00,-2.220446049250313081e-15,-3.181452198000611544e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.175054972637624040e+00,1.092511456005010206e+00,7.771561172376095783e-16,-3.180453382642103085e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.422861369671795995e+00,1.093326584094835852e+00,4.440892098500626162e-16,-3.180311320651254148e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.690103463609232470e+00,1.094142320355677711e+00,9.992007221626408864e-16,-3.188517682714550345e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.978367066711776978e+00,1.094958665241296814e+00,-1.110223024625156540e-15,-3.203116696479255121e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.289367429764893380e+00,1.095775619205788587e+00,6.661338147750939243e-16,-3.132466592611432999e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.624959807255072164e+00,1.096593182703592184e+00,-1.332267629550187849e-15,-3.136524163915942794e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.987150884910104054e+00,1.097411356189480713e+00,6.661338147750939243e-16,-3.200511581836381226e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
